Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Timestamp
0.293,-0.0824,1.0987,-0.0684,-0.0058,1.0123,14.7999999999884
-0.2014,-2.5269,0.8423,-0.0079,-0.0009,1.0001,14.8999999999651
-0.2289,0.8057,1.236,0.0055,-0.0043,0.9732,15
0.3479,0.5219,1.1811,-0.036,0.0076,1.0099,15.0999999999767
0.0641,-0.7782,0.8698,-0.0095,0.0052,0.983,15.2000000000116
-0.3113,0.6134,0.8972,-0.0092,0.0024,0.9812,15.2999999999884
0.6226,-0.2106,0.6867,-0.0284,-0.0024,1.0349,15.3999999999651
-0.4669,-1.0712,0.1556,-0.0015,-0.0174,1.0025,15.5
-0.4303,1.0346,0.238,0.0101,-0.0208,0.9622,15.5999999999767
0.3204,0.6043,0.2197,-0.0311,-0.0171,1.026,15.7000000000116
-0.4852,-0.9522,-0.0641,-0.0165,-0.0137,1.0074,15.7999999999884
-0.6134,0.0641,0.0641,0.0122,-0.0079,0.9879,15.8999999999651
1.0254,0.5127,0.238,-0.0125,-0.0064,1.0071,16
0.2747,0.0366,0.2564,-0.0146,-0.0055,1.0132,16.0999999999767
-0.8332,0.3754,0.238,0.0037,-0.0003,0.994,16.2000000000116
0.4944,0.7141,0.3296,-0.0174,-0.0174,0.9861,16.2999999999884
0.0549,-0.7691,0.2838,-0.0217,-0.0012,1.0144,16.3999999999651
-0.3296,0.293,0.2197,0.004,0.0107,0.9851,16.5
0.4395,0.7965,0.3388,-0.0101,-0.0015,0.9748,16.5999999999767
0.5768,-0.3754,0.3021,-0.029,0.0229,0.9992,16.7000000000116
-0.1556,0.0092,-0.0275,0.0015,0.0192,1.016,16.7999999999884
0.1373,0.3662,0.0275,-0.004,0.0049,0.9732,16.8999999999651
0.2655,-0.0732,0.0732,-0.0256,0.0012,1.0315,17
-0.705,-0.5676,-0.3845,0.0012,0.0113,1.0132,17.0999999999767
-0.6226,0.6775,-0.0732,0,-0.011,0.9668,17.2000000000116
0.119,-0.0183,-0.0458,-0.0262,0.0079,0.9888,17.2999999999884
-0.0732,0.0366,-0.5036,-0.0079,-0.0098,1.0154,17.3999999999651
-0.6867,-0.1648,-0.2564,-0.0049,-0.0125,0.9851,17.5
0.8148,-0.3571,-0.238,-0.0177,-0.011,1.0092,17.5999999999767
-0.2106,0.0824,-0.4486,-0.0079,-0.0247,1.0175,17.7000000000116
0.0824,0.1831,-0.4944,-0.0003,-0.0226,1.0007,17.7999999999884
0.2564,-0.412,-0.3845,-0.0098,-0.0296,0.997,17.8999999999651
0.3204,-0.4028,-0.6043,-0.0085,-0.0162,1.023,18
-0.9705,-0.0366,-0.7233,0.0037,-0.018,0.9824,18.0999999999767
0.7965,0.3571,-0.5585,-0.0076,-0.0104,1.0077,18.2000000000116
0.0183,-0.4852,-0.586,-0.0049,-0.0183,1.008,18.2999999999884
-1.0529,0.2106,-0.5585,0.0034,-0.0119,1.0044,18.3999999999651
-0.238,-0.0183,-0.2197,-0.014,-0.0168,0.9705,18.5
0.3204,-0.5493,-0.2655,-0.0189,-0.0195,1.0218,18.5999999999767
