Yaw,Pitch,Raw,Timestamp
328.24,0.31,-0.37,258.701000000001
328.79,0.33,-0.34,258.800999999978
329.28,0.45,-0.39,258.901000000013
329.63,0.32,-0.27,259.000999999989
329.85,0.26,-0.14,259.100999999966
329.9,0.69,0.03,259.201000000001
329.78,0.85,0.09,259.300999999978
329.58,0.99,-0.21,259.401000000013
329.26,1.32,-0.01,259.500999999989
328.86,1.15,0.54,259.600999999966
328.6,1.44,0.05,259.701000000001
328.32,1.21,-0.48,259.800999999978
328.03,0.52,-0.4,259.901000000013
327.67,0.77,-0.25,260.000999999989
327.38,0.27,-0.53,260.100999999966
327.16,0.53,-0.69,260.201000000001
326.99,0.65,-0.83,260.300999999978
326.9,0.69,-0.95,260.401000000013
326.83,0.67,-1.03,260.500999999989
326.71,0.76,-0.81,260.600999999966
326.66,0.56,-0.75,260.701000000001
326.63,0.41,-0.9,260.800999999978
326.57,0.28,-0.79,260.901000000013
326.56,-0.03,-0.97,261.000999999989
326.44,0.23,-0.82,261.100999999966
326.35,0.14,-0.7,261.201000000001
326.27,0.44,-0.83,261.300999999978
326.11,0.84,-0.71,261.401000000013
325.98,0.96,-0.63,261.500999999989
325.96,0.87,-0.84,261.600999999966
325.9,0.31,-0.99,261.701000000001
325.78,0.45,-0.76,261.800999999978
325.66,0.54,-0.82,261.901000000013
325.58,0.2,-0.84,262.000999999989
325.59,0.37,-0.99,262.100999999966
325.55,0.28,-0.98,262.201000000001
325.49,0.18,-1.03,262.300999999978
325.39,0.76,-1.07,262.401000000013
325.3,0.55,-0.91,262.500999999989
325.24,0.61,-0.79,262.600999999966
325.18,0.71,-0.91,262.701000000001
325.11,0.66,-0.95,262.800999999978
325.05,0.59,-0.95,262.901000000013
325.03,0.54,-0.94,263.000999999989
324.96,0.46,-0.84,263.100999999966
324.92,0.48,-0.89,263.201000000001
324.89,0.5,-0.99,263.300999999978
324.8,0.37,-0.84,263.401000000013
324.78,0.51,-0.86,263.500999999989
324.75,0.39,-0.98,263.600999999966
324.69,0.4,-0.94,263.701000000001
324.68,0.43,-0.96,263.800999999978
324.67,0.47,-1.01,263.901000000013
324.73,0.56,-1.04,264.000999999989
324.87,0.46,-1.09,264.100999999966
325,0.47,-1.09,264.201000000001
325.17,0.49,-1.09,264.300999999978
325.4,0.51,-1.21,264.401000000013
325.65,0.49,-1.21,264.500999999989
325.96,0.68,-1.13,264.600999999966
326.32,0.68,-1.2,264.701000000001
326.65,0.72,-1.18,264.800999999978
327,0.87,-1.03,264.901000000013
327.35,0.81,-1.1,265.000999999989
327.59,0.81,-1,265.100999999966
327.74,0.75,-0.89,265.201000000001
327.82,0.55,-0.83,265.300999999978
327.82,0.42,-0.79,265.401000000013
327.84,0.42,-0.69,265.500999999989
327.86,0.39,-0.88,265.600999999966
327.89,0.32,-0.94,265.701000000001
328,0.19,-0.93,265.800999999978
328.09,0.15,-0.91,265.901000000013
328.17,0.15,-0.89,266.000999999989
328.31,0.25,-0.96,266.100999999966
328.41,0.41,-1.04,266.201000000001
328.52,0.26,-1,266.300999999978
328.67,0.34,-0.99,266.401000000013
328.78,0.19,-1.01,266.500999999989
328.9,0.18,-1,266.600999999966
328.97,0.26,-0.95,266.701000000001
328.94,0.38,-0.83,266.800999999978
328.81,0.64,-0.66,266.901000000013
328.62,0.71,-0.67,267.000999999989
328.39,0.58,-0.76,267.100999999966
328.12,0.42,-0.63,267.201000000001
327.83,0.31,-0.62,267.300999999978
327.55,0.29,-0.61,267.401000000013
327.27,0.46,-0.65,267.500999999989
327,0.5,-0.78,267.600999999966
326.76,0.5,-0.9,267.701000000001
326.6,0.56,-0.93,267.800999999978
326.56,0.46,-1.08,267.901000000013
326.66,0.35,-1.14,268.000999999989
326.85,0.4,-1.19,268.100999999966
327.01,0.22,-1.24,268.201000000001
327.2,0.26,-1.25,268.300999999978
327.31,0.32,-1.25,268.401000000013
327.36,0.25,-1.23,268.500999999989
327.41,0.36,-1.2,268.600999999966
327.4,0.34,-1.25,268.701000000001
327.38,0.3,-1.18,268.800999999978
327.39,0.37,-1.18,268.901000000013
327.37,0.38,-1.26,269.000999999989
327.39,0.28,-1.21,269.100999999966
